ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1767938768.663806,CJYcJBoMZ16KtbA8j,192.168.1.1,58486,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938769.797369,ChkXJS3lmhTiYYAscb,192.168.1.1,45524,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4200,0,0,,17
1767938770.816585,CrZC2s3Jgsg4ri2cn5,192.168.1.1,36064,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938772.050321,CMFqvCSSJeLlH2Eb9,192.168.1.1,54696,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4201,0,0,,17
1767938773.067858,CP4XYpo3WuS6WNzcd,192.168.1.1,60492,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938824.026597,CcztBx2ntfREKd966d,192.168.1.39,51309,8.8.8.8,53,udp,dns,0.041543,36,52,SF,T,F,0,Dd,1,64,1,80,,17
1767938824.026633,CrayzcLv75dc6a6pb,192.168.1.39,34848,8.8.8.8,53,udp,dns,0.041259,36,103,SF,T,F,0,Dd,1,64,1,131,,17
1767938774.200615,Cefit94Zm1TzdNXW2a,192.168.1.1,51761,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4197,0,0,,17
1767938804.133782,CzQClj3QbjnmMWRXCg,fe80::7bb:73d7:8a01:76e1,5353,ff02::fb,5353,udp,dns,15.738405,5923,0,S0,T,F,0,D,11,6451,0,0,,17
1767938804.130505,Cjoxrt3EDL2VicRSFl,192.168.1.34,5353,224.0.0.251,5353,udp,dns,15.741495,5759,0,S0,T,T,0,D,9,6011,0,0,,17
1767938775.220568,C5Kdca2pKRNiJ6HMmh,192.168.1.1,40688,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938776.553271,CvDl4d8W6oZK9vfik,192.168.1.1,39826,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4202,0,0,,17
1767938777.370960,CKdGPP3aOTKNtKDpo4,192.168.1.1,51443,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938778.606202,CXPoVl4Fos9OJKOFm8,192.168.1.1,46556,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4198,0,0,,17
